53;AV. DE LA FONTAINE DU TERTRE;AVENUE DE LA FONTAINE DU TERTRE;3549T;;1;0;27;0;23;1;N
54;AV. D'ESTOURNELLES DE CONSTANT;AVENUE D'ESTOURNELLES DE CONSTANT;3175L;;1;0;11;0;31;1;N
55;AV. PROFESSEUR LEON BERNARD;AV. PROFESSEUR LEON BERNARD;7275T;;0;0;4;0;23;1;N
56;AVENUE ALEXANDRE MAISTRASSE;AVENUE ALEXANDRE MAISTRASSE;0060A;;1;0;24;0;32;1;N
57;AVENUE CHARLES DE GAULLE;AVENUE DU GENERAL DE GAULLE;4152Y;I;1;0;25;0;2;1;N
58;AVENUE CHARLES DE GAULLE;AVENUE DU GENERAL DE GAULLE;4152Y;I;27;0;37;0;1;1;N
59;AVENUE CHARLES DE GAULLE;AVENUE DU GENERAL DE GAULLE;4152Y;P;2;0;22;0;2;1;N
60;AVENUE CHARLES DE GAULLE;AVENUE DU GENERAL DE GAULLE;4152Y;P;24;0;30;0;1;1;N
61;AVENUE DE BELLEVUE;RUE DE BELLEVUE;SU02E;;2;0;14;0;21;1;N
62;AVENUE DE LA CRIOLLA;AVENUE DE LA CRIOLLA;1560F;;1;0;40;0;26;1;N
63;AVENUE DE LA FOUILLEUSE;AVENUE DE FOUILLEUSE;3555Z;P;2;0;72;0;29;1;N
64;AVENUE DE LA FOUILLEUSE;AVENUE DE FOUILLEUSE;3555Z;P;74;0;98;0;30;1;N
65;AVENUE DE L'ABBE SAINT-PIERRE;AVENUE DE L' ABBE SAINT-PIERRE;0005R;;1;0;23;0;32;1;N
66;AVENUE DE L'ENTREE DU FORT;FORT DU MONT VALERIEN;3165A;;1;0;10;0;23;1;O
67;AVENUE DE SULLY;AVENUE DE SULLY;8590X;;1;0;13;0;31;1;N
68;AVENUE DES BAS ROGERS;RUE DES BAS ROGERS;615;I;61;0;71;0;18;1;N
69;AVENUE DES BAS ROGERS;RUE DES BAS ROGERS;615;I;73;0;81;0;20;1;N
70;AVENUE DES CONFERENCES;AVENUE DES CONFERENCES DE SURESNES;1535D;;1;0;21;0;5;1;N
71;AVENUE DES LANDES;AVENUE DES LANDES;5115V;;1;0;67;0;24;1;N
72;AVENUE DU MARECHAL JUIN;AVENUE DU MARECHAL JUIN;6108Z;;1;0;14;0;9;1;N
73;AVENUE DU PRESIDENT WILSON;AVENUE DU PRESIDENT WILSON;7260B;I;1;0;5;0;31;1;N
74;AVENUE DU PRESIDENT WILSON;AVENUE DU PRESIDENT WILSON;7260B;I;7;0;17;0;30;1;N
75;AVENUE DU PRESIDENT WILSON;AVENUE DU PRESIDENT WILSON;7260B;P;2;0;10;0;31;1;N
