22;lieu; ;8;RUE;DES;BOCHOUX;92150;SURESNES;8 RUE DES BOCHOUX;IMMERGIS;3262;1.00000000; ;8;RUE DES BOCHOUX;LIBERTE;2400000001000000010004006D0F00000C000000010000009A99C0B9FF14A590CAF3E411
23;lieu; ;26;IMPASSE;DES;SOMMELIERS DE LA GROUE;92150;SURESNES;26 BIS IMPASSE DES SOMMELIERS DE LA GROUE;IMMERGIS;4536;1.00000000;BIS;26 BIS;IMPASSE DES SOMMELIERS DE LA GROUE;MONT-VALERIEN;2400000001000000010004006D0F00000C00000001000000B09FE6B7FF14BE8EC3E4E411
24;lieu; ;34;RUE;DES;FLEURS;92150;SURESNES;34 RUE DES FLEURS;IMMERGIS;1012;1.00000000; ;34;RUE DES FLEURS;MONT-VALERIEN;2400000001000000010004006D0F00000C00000001000000B5FFCEB0FF1492DB95E4E411
25;lieu; ;1;IMPASSE;DES;SOMMELIERS DE LA GROUE;92150;SURESNES;1 IMPASSE DES SOMMELIERS DE LA GROUE;IMMERGIS;1417;1.00000000; ;1;IMPASSE DES SOMMELIERS DE LA GROUE;MONT-VALERIEN;2400000001000000010004006D0F00000C00000001000000B5F088B8FF148886B1E4E411
26;lieu; ;30;CHEMIN;DU;SYNDICAT DES CULTIVATEURS;92150;SURESNES;30 CHEMIN DU SYNDICAT DES CULTIVATEURS;IMMERGIS;2088;1.00000000; ;30;CHEMIN DU SYNDICAT DES CULTIVATEURS;MONT-VALERIEN;2400000001000000010004006D0F00000C00000001000000AFE3C4B0FF149094F2E3E411
27;lieu; ;67;RUE;DES;NOUVELLES;92150;SURESNES;67 RUE DES NOUVELLES;IMMERGIS;477;1.00000000; ;67;RUE DES NOUVELLES;MONT-VALERIEN;2400000001000000010004006D0F00000C00000001000000A9E6FDB2FF14BE9985E2E411
28;lieu; ;23;AVENUE;DE LA;FONTAINE DU TERTRE;92150;SURESNES;23 AVENUE DE LA FONTAINE DU TERTRE;IMMERGIS;2048;1.00000000; ;23;AVENUE DE LA FONTAINE DU TERTRE;MONT-VALERIEN;2400000001000000010004006D0F00000C00000001000000B9BDCAB6FF148DA9DAE7E411
29;lieu; ;4;RUE;DES;ACQUEVILLES;92150;SURESNES;4 RUE DES ACQUEVILLES;IMMERGIS;3735;1.00000000; ;4;RUE DES ACQUEVILLES;MONT-VALERIEN;2400000001000000010004006D0F00000C00000001000000A3A386B4FF148DA9F3E2E411
30;lieu; ;48;RUE;DES;PARIGOTS;92150;SURESNES;48 RUE DES PARIGOTS;IMMERGIS;2247;1.00000000; ;48;RUE DES PARIGOTS;LIBERTE;2400000001000000010004006D0F00000C000000010000009A86B8B8FF14B4DFBDEFE411
31;lieu; ;169;RUE;DE;VERDUN;92150;SURESNES;169 BIS RUE DE VERDUN;IMMERGIS;4458;1.00000000;BIS;169 BIS;RUE DE VERDUN;ECLUSE-BELVEDERE;2400000001000000010004006D0F00000C0000000100000096ADD5C2FF14AACADFF0E411
32;lieu; ;12;RUE;DE LA;GAUCHERE;92150;SURESNES;12 RUE DE LA GAUCHERE;IMMERGIS;735;1.00000000; ;12;RUE DE LA GAUCHERE;CENTRE VILLE;2400000001000000010004006D0F00000C000000010000009D85DFBAFF148B97A2EAE411
33;lieu; ;38;RUE;DES;MOULINEAUX;92150;SURESNES;38 RUE DES MOULINEAUX;IMMERGIS;1941;1.00000000; ;38;RUE DES MOULINEAUX;REPUBLIQUE;2400000001000000010004006D0F00000C00000001000000BD97DEB8FF149EFCBBE1E411
34;lieu; ;34;RUE; ;CARNOT;92150;SURESNES;34 RUE CARNOT;BANO;920731425J-34;0.60000002; ;34;RUE CARNOT;CENTRE VILLE;2400000001000000010004006D0F00000C000000010000009BDDAEBCFF14AB88C2EAE411
35;lieu; ;38;RUE; ;CARNOT;92150;SURESNES;38 RUE CARNOT;BANO;920731425J-38;0.60000002; ;38;RUE CARNOT;CENTRE VILLE;2400000001000000010004006D0F00000C000000010000008396F1BBFF148BF0D4E9E411
