id;address;new_address;match
279;RUE DES CHEVREMONTS;RUE DES CHEVREMONTS;True
280;RUE DES COTTAGES;RUE DES COTTAGES;True
281;RUE DES COUVALOUX;RUE DES COUVALOUX;True
282;RUE DES FLEURS;RUE DES FLEURS;True
283;RUE DES MEUNIERS;RUE DES MEUNIERS;True
284;RUE DES MOULINEAUX;RUE DES MOULINEAUX;True
285;RUE DES MOULINEAUX;RUE DES MOULINEAUX;True
286;RUE DES NOUVELLES;RUE DES NOUVELLES;True
287;RUE DES NOUVELLES;RUE DES NOUVELLES;True
288;RUE DES NOUVELLES;RUE DES NOUVELLES;True
289;RUE DES NOUVELLES;RUE DES NOUVELLES;True
290;RUE DES PARECHAUX;RUE DES PARECHAUX;True
291;RUE DES PARIGOTS;RUE DES PARIGOTS;True
292;RUE DES PARIGOTS;RUE DES PARIGOTS;True
293;RUE DES PARIGOTS;RUE DES PARIGOTS;True
294;RUE DES PAVILLONS;RUE DES PAVILLONS;True
295;RUE DES PUITS;RUE DES PUITS;True
296;RUE DES RAGUIDELLES;RUE DES RAGUIDELLES;True
297;RUE DES TERRES BLANCHES;RUE DES TERRES BLANCHES;True
298;RUE DES TOURNEROCHES;RUE DES TOURNEROCHES;True
299;RUE DES VELETTES;RUE DES VELETTES;True
300;RUE DES VELETTES;RUE DES VELETTES;True
301;RUE DES VIGNES;RUE DES VIGNES;True
302;RUE DESBASSAYNS DE RICHEMONT;RUE DESBASSAYNS DE RICHEMONT;True
303;RUE DESBASSAYNS DE RICHEMONT;RUE DESBASSAYNS DE RICHEMONT;True
304;RUE DESBASSAYNS DE RICHEMONT;RUE DESBASSAYNS DE RICHEMONT;True
305;RUE DIDEROT;RUE DIDEROT;True
306;RUE DIDEROT;RUE DIDEROT;True
307;RUE DIDEROT;RUE DIDEROT;True
308;RUE DIDEROT;RUE DIDEROT;True
343;RUE DU 11 NOVEMBRE 1918;;False
309;RUE DU BAC;RUE DU BAC;True
310;RUE DU BEL AIR;RUE DU BEL AIR;True
311;RUE DU CALVAIRE;RUE DU CALVAIRE;True
312;RUE DU CAPITAINE FERBER;RUE DU CAPITAINE FERBER;True
313;RUE DU CAPITAINE FERBER;RUE DU CAPITAINE FERBER;True
314;RUE DU CAPITAINE FERBER;RUE DU CAPITAINE FERBER;True
315;RUE DU CHEMIN VERT;RUE DU CHEMIN VERT;True
316;RUE DU CHEVALIER DE LA BARRE;RUE DU CHEVALIER DE LA BARRE;True
317;RUE DU CLOS DES ERMITES;RUE DU CLOS DES ERMITES;True
318;RUE DU COMMANDANT RIVIERE;RUE DU COMMANDANT RIVIERE;True
319;RUE DU DOCTEUR EMILE ROUX;RUE DU DOCTEUR EMILE ROUX;True
320;RUE DU DOCTEUR EMILE ROUX;RUE DU DOCTEUR EMILE ROUX;True
321;RUE DU DOCTEUR EMILE ROUX;RUE DU DOCTEUR EMILE ROUX;True
322;RUE DU DOCTEUR MAGNAN;RUE DU DOCTEUR MAGNAN;True
323;RUE DU DOCTEUR MARC BOMBIGER;RUE DU DOCTEUR MARC BOMBIGER;True
324;RUE DU FECHERAY;RUE DU FECHERAY;True
325;RUE DU MONT VALERIEN;RUE DU MONT VALERIEN;True
326;RUE DU PAS-SAINT-MAURICE;;False
